Tweet_date,Tweet_time,Tweet_City,Tweet_Country,Tweet_account,Retweet_count,Tweet_Text,Created Date,tweet_without_stopwords,neg,neu,pos,vader_polarity,sentiment
4/1/2020,0:08:00,,Australia,GSK_AU,0,ask award research excellence open nomination celebrating year awarding outset,2020-04-01 00:08:00,ask award research excellence open nomination celebrating year awarding outset,0.0,0.297,0.703,0.9349,positive
4/1/2020,0:35:00,,Australia,GSK_AU,3,award research excellence open nomination award target high calibre mid-career clinic,2020-04-01 00:35:00,award research excellence open nomination award target high calibre mid-career clinic,0.0,0.419,0.581,0.9022,positive
4/1/2020,0:45:00,Basel,Switzerland,Novartis News,31,face global crisis novartis mobilized ramp capability medicine clinical trial expertise,2020-04-01 00:45:00,face global crisis novartis mobilized ramp capability medicine clinical trial expertise,0.291,0.709,0.0,-0.6249,negative
4/1/2020,0:46:00,Basel,Switzerland,Novartis News,2,information response visit,2020-04-01 00:46:00,information response visit,0.0,1.0,0.0,0.0,neutral
4/1/2020,0:59:00,Basel,Switzerland,Novartis News,4,clinical investigation assessing portfolio existing amp investigational medicine potent,2020-04-01 00:59:00,clinical investigation assessing portfolio existing amp investigational medicine potent,0.0,1.0,0.0,0.0,neutral
4/1/2020,0:59:00,Basel,Switzerland,Novartis News,3,ramp response leveraging capability discovery development amp scale manufacturing collar,2020-04-01 00:59:00,ramp response leveraging capability discovery development amp scale manufacturing collar,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:00:00,Basel,Switzerland,Novartis News,3,community fund response fund provide million support community world,2020-04-01 01:00:00,community fund response fund provide million support community world,0.0,0.748,0.252,0.4019,positive
4/1/2020,1:02:00,Basel,Switzerland,Novartis News,3,drug donation amp pricing commitment committed donate million do hydroxychloroqu,2020-04-01 01:02:00,drug donation amp pricing commitment committed donate million hydroxychloroqu,0.0,0.63,0.37,0.5719,positive
4/1/2020,1:17:00,Basel,Switzerland,Novartis,0,reaching contact office uk click,2020-04-01 01:17:00,reaching contact office uk click,0.0,0.69,0.31,0.2023,positive
4/1/2020,1:22:00,Basel,Switzerland,Novartis,0,reaching hear experience provide contact info,2020-04-01 01:22:00,reaching hear experience provide contact info,0.0,0.735,0.265,0.2023,positive
4/1/2020,1:25:00,Dubai,UAE,EmiratesSupport,0,jimmieboswell travel voucher option option open ticket yo,2020-04-01 01:25:00,jimmieboswell travel voucher option option open ticket yo,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:36:00,Dubai,UAE,EmiratesSupport,0,distant replied dm,2020-04-01 01:36:00,distant replied dm,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:38:00,Dubai,UAE,EmiratesSupport,0,paige replied dm,2020-04-01 01:38:00,paige replied dm,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:38:00,Dubai,UAE,EmiratesSupport,0,mark booked travel agency contact option booked direct,2020-04-01 01:38:00,mark booked travel agency contact option booked direct,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:39:00,Dubai,UAE,EmiratesSupport,0,doug dm booking reference email address guide,2020-04-01 01:39:00,doug dm booking reference email address guide,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:39:00,Dubai,UAE,EmiratesSupport,0,oscarspanna send direct message booking reference email address contact,2020-04-01 01:39:00,oscarspanna send direct message booking reference email address contact,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:39:00,Dubai,UAE,EmiratesSupport,0,reddyrakesh issued ticket travel agency discus reboot,2020-04-01 01:39:00,reddyrakesh issued ticket travel agency discus reboot,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:52:00,Dubai,UAE,EmiratesSupport,0,lyndsey replied dm,2020-04-01 01:52:00,lyndsey replied dm,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:53:00,Dubai,UAE,EmiratesSupport,0,abdlilaah replied back dm,2020-04-01 01:53:00,abdlilaah replied back dm,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:55:00,Dubai,UAE,EmiratesSupport,0,jade dm booking reference email id mentioned booking,2020-04-01 01:55:00,jade dm booking reference email id mentioned booking,0.0,1.0,0.0,0.0,neutral
4/1/2020,1:59:00,Dubai,UAE,EmiratesSupport,0,baldwin replied back dm,2020-04-01 01:59:00,baldwin replied back dm,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:00:00,Dubai,UAE,EmiratesSupport,0,david dm booking reference email address guide,2020-04-01 02:00:00,david dm booking reference email address guide,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:00:00,Dubai,UAE,EmiratesSupport,0,harrymahoney answered dm travel voucher check option,2020-04-01 02:00:00,harrymahoney answered dm travel voucher check option,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:02:00,Dubai,UAE,EmiratesSupport,0,harrymahoney travel voucher,2020-04-01 02:02:00,harrymahoney travel voucher,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:05:00,Dubai,UAE,EmiratesSupport,0,replied dm,2020-04-01 02:05:00,replied dm,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:06:00,Dubai,UAE,EmiratesSupport,0,team extremely busy assist page above,2020-04-01 02:06:00,team extremely busy assist page,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:07:00,Dubai,UAE,EmiratesSupport,0,showcallcrewing check option offering,2020-04-01 02:07:00,showcallcrewing check option offering,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:09:00,Dubai,UAE,EmiratesSupport,0,amandaplease dm booking reference email address mentioned booking,2020-04-01 02:09:00,amandaplease dm booking reference email address mentioned booking,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:10:00,Dubai,UAE,EmiratesSupport,0,charlotte due current situation relating ovid experiencing severe delay,2020-04-01 02:10:00,charlotte due current situation relating ovid experiencing severe delay,0.412,0.588,0.0,-0.5994,negative
4/1/2020,2:12:00,Dubai,UAE,EmiratesSupport,0,lesleychattert check option offering,2020-04-01 02:12:00,lesleychattert check option offering,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:12:00,Dubai,UAE,EmiratesSupport,0,dinmehboob check option offering,2020-04-01 02:12:00,dinmehboob check option offering,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:12:00,Dubai,UAE,EmiratesSupport,0,chris replied dm,2020-04-01 02:12:00,chris replied dm,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:13:00,Dubai,UAE,EmiratesSupport,0,hassan replied dm check into,2020-04-01 02:13:00,hassan replied dm check,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:20:00,Dubai,UAE,EmiratesSupport,0,booked ticket travel agency reach check,2020-04-01 02:20:00,booked ticket travel agency reach check,0.0,0.82,0.18,0.0258,positive
4/1/2020,2:20:00,Dubai,UAE,EmiratesSupport,0,pasgaspard flight suspended uae government directive check,2020-04-01 02:20:00,pasgaspard flight suspended uae government directive check,0.341,0.659,0.0,-0.4767,negative
4/1/2020,2:25:00,Dubai,UAE,EmiratesSupport,0,georgia realise suspension affected holiday control,2020-04-01 02:25:00,georgia realise suspension affected holiday control,0.193,0.482,0.325,0.2732,positive
4/1/2020,2:34:00,Dubai,UAE,EmiratesSupport,0,jamie flight suspension control due ovid amp travel restriction dm,2020-04-01 02:34:00,jamie flight suspension control due ovid amp travel restriction dm,0.189,0.811,0.0,-0.2732,negative
4/1/2020,2:40:00,Dubai,UAE,EmiratesSupport,0,ideas replied dm,2020-04-01 02:40:00,ideas replied dm,0.0,1.0,0.0,0.0,neutral
4/1/2020,2:59:00,Dubai,UAE,EmiratesSupport,0,dani check option offering hel,2020-04-01 02:59:00,dani check option offering hel,0.0,1.0,0.0,0.0,neutral
4/1/2020,3:00:00,Dubai,UAE,EmiratesSupport,0,muhammad were suspended flight notice dm book,2020-04-01 03:00:00,muhammad suspended flight notice dm book,0.341,0.659,0.0,-0.4767,negative
